Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2,Lng
Broncos,566.0,360.0,63.6,5.9,3337.0,15.0,9.0,176.0,31.1,40.0,,,,,,,,,,,,,,,,
Browns,513.0,299.0,58.3,6.4,3269.0,20.0,17.0,164.0,32.0,28.0,,,,,,,,,,,,,,,,
Steelers,573.0,336.0,58.6,6.0,3460.0,19.0,19.0,178.0,31.1,50.0,,,,,,,,,,,,,,,,
Giants,541.0,311.0,57.5,5.8,3119.0,17.0,11.0,162.0,29.9,37.0,,,,,,,,,,,,,,,,
Eagles,563.0,333.0,59.2,5.5,3094.0,18.0,15.0,160.0,28.4,56.0,,,,,,,,,,,,,,,,
Cardinals,535.0,335.0,62.6,7.2,3874.0,29.0,17.0,196.0,36.6,21.0,,,,,,,,,,,,,,,,
Bears,547.0,335.0,61.2,6.4,3530.0,24.0,9.0,185.0,33.8,35.0,,,,,,,,,,,,,,,,
Saints,593.0,343.0,57.8,6.4,3805.0,25.0,20.0,191.0,32.2,39.0,,,,,,,,,,,,,,,,
Chargers,607.0,375.0,61.8,7.1,4295.0,26.0,17.0,205.0,33.8,39.0,,,,,,,,,,,,,,,,
Titans,562.0,339.0,60.3,6.3,3540.0,27.0,18.0,197.0,35.0,40.0,,,,,,,,,,,,,,,,
Jets,551.0,359.0,65.2,6.3,3490.0,17.0,15.0,178.0,32.3,30.0,,,,,,,,,,,,,,,,
Falcons,514.0,285.0,55.4,6.4,3287.0,23.0,24.0,171.0,33.3,47.0,,,,,,,,,,,,,,,,
Ravens,573.0,360.0,62.8,6.3,3591.0,16.0,25.0,190.0,33.2,33.0,,,,,,,,,,,,,,,,
Chiefs,616.0,403.0,65.4,6.8,4181.0,27.0,18.0,227.0,36.8,34.0,,,,,,,,,,,,,,,,
Cowboys,574.0,334.0,58.2,6.0,3449.0,22.0,19.0,178.0,31.0,24.0,,,,,,,,,,,,,,,,
Panthers,522.0,293.0,56.1,5.7,2993.0,18.0,17.0,155.0,29.7,52.0,,,,,,,,,,,,,,,,
Jaguars,519.0,314.0,60.5,6.3,3264.0,19.0,14.0,188.0,36.2,36.0,,,,,,,,,,,,,,,,
Dolphins,520.0,294.0,56.5,6.0,3102.0,20.0,21.0,162.0,31.2,47.0,,,,,,,,,,,,,,,,
Texans,512.0,281.0,54.9,6.1,3141.0,23.0,10.0,155.0,30.3,35.0,,,,,,,,,,,,,,,,
Dolphins,407.0,,,,,9.0,,,,,1554.0,3.8,86.0,21.1,,,,,,,,,,,,
Falcons,441.0,,,,,12.0,,,,,2047.0,4.6,97.0,22.0,,,,,,,,,,,,
Steelers,359.0,,,,,16.0,,,,,1375.0,3.8,77.0,21.4,,,,,,,,,,,,
Titans,372.0,,,,,7.0,,,,,1424.0,3.8,75.0,20.2,,,,,,,,,,,,
Eagles,390.0,,,,,5.0,,,,,1660.0,4.3,83.0,21.3,,,,,,,,,,,,
49ers,394.0,,,,,14.0,,,,,1652.0,4.2,96.0,24.4,,,,,,,,,,,,
Giants,407.0,,,,,12.0,,,,,1830.0,4.5,87.0,21.4,,,,,,,,,,,,
Vikings,394.0,,,,,15.0,,,,,1666.0,4.2,83.0,21.1,,,,,,,,,,,,
Chargers,410.0,,,,,15.0,,,,,1739.0,4.2,91.0,22.2,,,,,,,,,,,,
Chiefs,431.0,,,,,19.0,,,,,2067.0,4.8,120.0,27.8,,,,,,,,,,,,
Broncos,379.0,,,,,21.0,,,,,1489.0,3.9,100.0,26.4,,,,,,,,,,,,
Jaguars,487.0,,,,,14.0,,,,,2071.0,4.2,112.0,23.0,,,,,,,,,,,,
Panthers,448.0,,,,,12.0,,,,,1653.0,3.7,95.0,21.2,,,,,,,,,,,,
Packers,413.0,,,,,14.0,,,,,1998.0,4.8,122.0,29.5,,,,,,,,,,,,
Redskins,435.0,,,,,14.0,,,,,1754.0,4.0,96.0,22.1,,,,,,,,,,,,
Colts,459.0,,,,,16.0,,,,,1992.0,4.3,114.0,24.8,,,,,,,,,,,,
Seahawks,500.0,,,,,18.0,,,,,2441.0,4.9,140.0,28.0,,,,,,,,,,,,
Ravens,471.0,,,,,17.0,,,,,1762.0,3.7,95.0,20.2,,,,,,,,,,,,
Bengals,498.0,,,,,16.0,,,,,2003.0,4.0,104.0,20.9,,,,,,,,,,,,
Saints,439.0,,,,,18.0,,,,,1991.0,4.5,108.0,24.6,,,,,,,,,,,,
Texans,509.0,,,,,14.0,,,,,2089.0,4.1,116.0,22.8,,,,,,,,,,,,
Cowboys,481.0,,,,,10.0,,,,,1818.0,3.8,90.0,18.7,,,,,,,,,,,,
Raiders,384.0,,,,,14.0,,,,,1453.0,3.8,96.0,25.0,,,,,,,,,,,,
Cardinals,490.0,,,,,17.0,,,,,2146.0,4.4,117.0,23.9,,,,,,,,,,,,
Buccaneers,410.0,,,,,8.0,,,,,1554.0,3.8,79.0,19.3,,,,,,,,,,,,
Browns,483.0,,,,,12.0,,,,,2079.0,4.3,107.0,22.2,,,,,,,,,,,,
Jets,427.0,,,,,17.0,,,,,1973.0,4.6,116.0,27.2,,,,,,,,,,,,
Patriots,467.0,,,,,17.0,,,,,2198.0,4.7,129.0,27.6,,,,,,,,,,,,
