Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Panthers,363.0,334.0,61.45,7.0,3792.5,7.0,15.0,84.75,184.0,33.9,6.0,2.0,36.0,237.5,1186.0,3.3,63.0,17.4,3.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chargers,351.0,334.0,61.45,7.0,3792.5,7.0,15.0,84.75,184.0,33.9,3.0,0.0,36.0,237.5,1062.0,3.0,63.0,18.0,16.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Falcons,350.0,334.0,61.45,7.0,3792.5,6.0,15.0,84.75,184.0,33.9,7.0,1.0,36.0,237.5,1214.0,3.5,65.0,18.6,11.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cardinals,343.0,334.0,61.45,7.0,3792.5,6.0,15.0,84.75,184.0,33.9,10.0,0.0,36.0,237.5,1278.0,3.7,71.0,20.7,12.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Browns,336.0,334.0,61.45,7.0,3792.5,7.0,15.0,84.75,184.0,33.9,2.0,1.0,36.0,237.5,1085.0,3.2,53.0,15.8,5.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Rams,486.0,334.0,61.45,7.0,3792.5,37.0,15.0,84.75,184.0,33.9,79.0,21.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,380.0,5492.0,14.4,247.0,65.0,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
49ers,486.0,334.0,61.45,7.0,3792.5,32.0,15.0,84.75,184.0,33.9,61.0,9.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,366.0,4400.0,12.0,211.0,57.6,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Colts,486.0,334.0,61.45,7.0,3792.5,33.0,15.0,84.75,184.0,33.9,51.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,357.0,4413.0,12.4,213.0,59.7,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Broncos,486.0,334.0,61.45,7.0,3792.5,28.0,15.0,84.75,184.0,33.9,65.0,10.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,354.0,4464.0,12.6,223.0,63.0,1.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Jets,486.0,334.0,61.45,7.0,3792.5,23.0,15.0,84.75,184.0,33.9,50.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,352.0,4023.0,11.4,192.0,54.6,2.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Packers,486.0,334.0,61.45,7.0,3792.5,21.0,15.0,84.75,184.0,33.9,43.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,348.0,3916.0,11.2,197.0,56.6,9.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Commanders,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,43.0,10.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,343.0,3892.0,11.4,185.0,53.9,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chiefs,486.0,334.0,61.45,7.0,3792.5,29.0,15.0,84.75,184.0,33.9,59.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,342.0,4408.0,12.9,207.0,60.5,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Panthers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,47.0,2.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,340.0,3850.0,11.3,201.0,59.1,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Jaguars,486.0,334.0,61.45,7.0,3792.5,22.0,15.0,84.75,184.0,33.9,42.0,11.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,333.0,3947.0,11.8,193.0,58.0,7.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Eagles,486.0,334.0,61.45,7.0,3792.5,21.0,15.0,84.75,184.0,33.9,46.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,331.0,3386.0,10.2,182.0,55.0,3.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Patriots,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,35.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,328.0,3461.0,10.6,172.0,52.4,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cardinals,486.0,334.0,61.45,7.0,3792.5,16.0,15.0,84.75,184.0,33.9,41.0,11.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,316.0,3478.0,11.0,156.0,49.4,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bills,486.0,334.0,61.45,7.0,3792.5,20.0,15.0,84.75,184.0,33.9,59.0,9.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,312.0,3936.0,12.6,174.0,55.8,7.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Giants,486.0,334.0,61.45,7.0,3792.5,22.0,15.0,84.75,184.0,33.9,46.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,311.0,3610.0,11.6,195.0,62.7,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chargers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,41.0,9.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,311.0,3540.0,11.4,156.0,50.2,3.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
